,url
28,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50502&docId=449696464&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=29&search_sort=0&spq=0
29,https://kin.naver.com/qna/detail.naver?d1id=1&dirId=11003&docId=413811435&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=30&search_sort=0&spq=0
30,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=454775093&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=31&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=438465453&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=32&search_sort=0&spq=0
32,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50502&docId=472343968&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=33&search_sort=0&spq=0
33,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=424951418&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=34&search_sort=0&spq=0
34,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=425692553&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=35&search_sort=0&spq=0
35,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50502&docId=463068539&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=36&search_sort=0&spq=0
36,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=457588057&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=37&search_sort=0&spq=0
37,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50502&docId=436346882&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=38&search_sort=0&spq=0
38,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80201&docId=414899660&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=39&search_sort=0&spq=0
39,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=809&docId=453230292&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=40&search_sort=0&spq=0
40,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=409992482&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=41&search_sort=0&spq=0
41,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=425837747&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=42&search_sort=0&spq=0
42,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=471163940&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=43&search_sort=0&spq=0
43,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40613&docId=413205180&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=44&search_sort=0&spq=0
44,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=408558586&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=45&search_sort=0&spq=0
45,https://kin.naver.com/qna/detail.naver?d1id=2&dirId=205&docId=448869690&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=46&search_sort=0&spq=0
46,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=394803622&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=47&search_sort=0&spq=0
47,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=429099945&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=48&search_sort=0&spq=0
48,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=421413972&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=49&search_sort=0&spq=0
49,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8020118&docId=427759084&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=50&search_sort=0&spq=0
50,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=501&docId=410782319&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=51&search_sort=0&spq=0
51,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=110101&docId=409851186&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=52&search_sort=0&spq=0
52,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=438067343&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=53&search_sort=0&spq=0
