,url
0,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=477689395&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=802&docId=474692848&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=501&docId=470638796&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=435413134&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=1118&docId=422070067&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=501&docId=440088821&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50502&docId=468721790&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50503&docId=397492106&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=441327598&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=110701&docId=448575802&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=10&search_sort=0&spq=0
10,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80901&docId=471971432&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=11&search_sort=0&spq=0
11,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=449213646&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=12&search_sort=0&spq=0
12,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=468087080&qb=66+47IOd66y87J2M7JOw7LKY66as6riw&enc=utf8&section=kin.qna_ency&rank=13&search_sort=0&spq=0
